id,image_id,title,year,era,location,artifact_type,subject,caption,text
hist_00000,img_00000,Constantinople Photograph - 1854,1854,Early Modern Era,Constantinople,photograph,trade route,"A photograph from Constantinople depicting trade route during the early modern era around 1854. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Constantinople Photograph - 1854. This object was discovered in Constantinople and relates to trade route. It dates to approximately 1854, representing a period of cultural, trade, or political activity."
hist_00001,img_00001,Constantinople Manuscript - 1450,1450,Ancient Era,Constantinople,manuscript,market scene,"A manuscript from Constantinople depicting market scene during the ancient era around 1450. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Constantinople Manuscript - 1450. This object was discovered in Constantinople and relates to market scene. It dates to approximately 1450, representing a period of cultural, trade, or political activity."
hist_00002,img_00002,Cairo Engraving - 1892,1892,Colonial Period,Cairo,engraving,farming community,"A engraving from Cairo depicting farming community during the colonial period around 1892. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Cairo Engraving - 1892. This object was discovered in Cairo and relates to farming community. It dates to approximately 1892, representing a period of cultural, trade, or political activity."
hist_00003,img_00003,Cairo Painting - 1632,1632,Medieval Period,Cairo,painting,trade route,"A painting from Cairo depicting trade route during the medieval period around 1632. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Cairo Painting - 1632. This object was discovered in Cairo and relates to trade route. It dates to approximately 1632, representing a period of cultural, trade, or political activity."
hist_00004,img_00004,Rome Document - 1438,1438,Colonial Period,Rome,document,scientific expedition,"A document from Rome depicting scientific expedition during the colonial period around 1438. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Rome Document - 1438. This object was discovered in Rome and relates to scientific expedition. It dates to approximately 1438, representing a period of cultural, trade, or political activity."
hist_00005,img_00005,Constantinople Engraving - 1403,1403,Colonial Period,Constantinople,engraving,civil ceremony,"A engraving from Constantinople depicting civil ceremony during the colonial period around 1403. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Constantinople Engraving - 1403. This object was discovered in Constantinople and relates to civil ceremony. It dates to approximately 1403, representing a period of cultural, trade, or political activity."
hist_00006,img_00006,Beijing Manuscript - 1629,1629,Early Modern Era,Beijing,manuscript,colonial exchange,"A manuscript from Beijing depicting colonial exchange during the early modern era around 1629. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Beijing Manuscript - 1629. This object was discovered in Beijing and relates to colonial exchange. It dates to approximately 1629, representing a period of cultural, trade, or political activity."
hist_00007,img_00007,Delhi Map - 1206,1206,Early Modern Era,Delhi,map,cultural festival,"A map from Delhi depicting cultural festival during the early modern era around 1206. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Delhi Map - 1206. This object was discovered in Delhi and relates to cultural festival. It dates to approximately 1206, representing a period of cultural, trade, or political activity."
hist_00008,img_00008,Mughal court Map - 1484,1484,Early Modern Era,Mughal court,map,battlefield,"A map from Mughal court depicting battlefield during the early modern era around 1484. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Mughal court Map - 1484. This object was discovered in Mughal court and relates to battlefield. It dates to approximately 1484, representing a period of cultural, trade, or political activity."
hist_00009,img_00009,Cairo Photograph - 1304,1304,Early Modern Era,Cairo,photograph,religious procession,"A photograph from Cairo depicting religious procession during the early modern era around 1304. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Cairo Photograph - 1304. This object was discovered in Cairo and relates to religious procession. It dates to approximately 1304, representing a period of cultural, trade, or political activity."
