id,instruction,question,context,answer,category,source
qa_00000,Answer the question using the historical context provided below.,Why were processions important during the festival season?,"The historical record describes a city transformed by the arrival of railways, which increased migration, commerce, and urban expansion.","The growth of railways increased migration, commerce, and urban expansion in the city.",historical_qa,synthetic_archival_dataset
qa_00001,Answer the question using the historical context provided below.,What does the manuscript reveal about village life?,"A manuscript from the eighteenth century mentions rural artisans, trade networks, and the spread of new technologies across villages.","The manuscript highlights artisan labor, trade networks, and the spread of new technologies in rural life.",historical_qa,synthetic_archival_dataset
qa_00002,Answer the question using the historical context provided below.,Which factor led to increased movement into the city?,"Artifacts from a coastal town show a close connection between fishing communities, navigation, and maritime exchange.","Processions helped preserve traditions, strengthen community identity, and celebrate collective memory.",historical_qa,synthetic_archival_dataset
qa_00003,Answer the question using the historical context provided below.,Why were processions important during the festival season?,"The historical record describes a city transformed by the arrival of railways, which increased migration, commerce, and urban expansion.",The archive describes a major migration from rural regions to the capital in search of work and opportunity.,historical_qa,synthetic_archival_dataset
qa_00004,Answer the question using the historical context provided below.,Why were processions important during the festival season?,"A manuscript from the eighteenth century mentions rural artisans, trade networks, and the spread of new technologies across villages.","The record shows that coastal communities relied on fishing, navigation, and maritime commerce for survival and growth.",historical_qa,synthetic_archival_dataset
qa_00005,Answer the question using the historical context provided below.,Why were processions important during the festival season?,"A manuscript from the eighteenth century mentions rural artisans, trade networks, and the spread of new technologies across villages.","The manuscript highlights artisan labor, trade networks, and the spread of new technologies in rural life.",historical_qa,synthetic_archival_dataset
qa_00006,Answer the question using the historical context provided below.,What kind of objects are preserved in the historical collection?,"During the festival season, community leaders organized processions to celebrate harvest traditions, public memory, and social unity.",The archive describes a major migration from rural regions to the capital in search of work and opportunity.,historical_qa,synthetic_archival_dataset
qa_00007,Answer the question using the historical context provided below.,What does the manuscript reveal about village life?,"The archive records a migration wave from the northern provinces to the capital city during the early 1900s. Families moved to access work, education, and new social opportunities.","The record shows that coastal communities relied on fishing, navigation, and maritime commerce for survival and growth.",historical_qa,synthetic_archival_dataset
qa_00008,Answer the question using the historical context provided below.,What kind of objects are preserved in the historical collection?,"During the festival season, community leaders organized processions to celebrate harvest traditions, public memory, and social unity.","The collection includes letters, maps, and objects that show trade, movement, and cultural exchange.",historical_qa,synthetic_archival_dataset
qa_00009,Answer the question using the historical context provided below.,What major change is described in the archive?,"Artifacts from a coastal town show a close connection between fishing communities, navigation, and maritime exchange.","Processions helped preserve traditions, strengthen community identity, and celebrate collective memory.",historical_qa,synthetic_archival_dataset
qa_00010,Answer the question using the historical context provided below.,Which factor led to increased movement into the city?,"Artifacts from a coastal town show a close connection between fishing communities, navigation, and maritime exchange.","The manuscript highlights artisan labor, trade networks, and the spread of new technologies in rural life.",historical_qa,synthetic_archival_dataset
qa_00011,Answer the question using the historical context provided below.,Which factor led to increased movement into the city?,"The historical record describes a city transformed by the arrival of railways, which increased migration, commerce, and urban expansion.","The manuscript highlights artisan labor, trade networks, and the spread of new technologies in rural life.",historical_qa,synthetic_archival_dataset
qa_00012,Answer the question using the historical context provided below.,What does the manuscript reveal about village life?,"Artifacts from a coastal town show a close connection between fishing communities, navigation, and maritime exchange.",The archive describes a major migration from rural regions to the capital in search of work and opportunity.,historical_qa,synthetic_archival_dataset
qa_00013,Answer the question using the historical context provided below.,What major change is described in the archive?,"Artifacts from a coastal town show a close connection between fishing communities, navigation, and maritime exchange.",The archive describes a major migration from rural regions to the capital in search of work and opportunity.,historical_qa,synthetic_archival_dataset
qa_00014,Answer the question using the historical context provided below.,How did railways affect the city according to the record?,"The historical record describes a city transformed by the arrival of railways, which increased migration, commerce, and urban expansion.","The growth of railways increased migration, commerce, and urban expansion in the city.",historical_qa,synthetic_archival_dataset
