id,audio_file,speaker,region,dialect,language,duration_seconds,transcript,text
audio_00000,audio_00000.wav,Priya,South Asia,African English,English,23.51,"In the archive, every voice helps reconstruct the meaning of a shared history.","In the archive, every voice helps reconstruct the meaning of a shared history."
audio_00001,audio_00001.wav,Sofia,Western Europe,Spanish-accented English,English,78.04,The speaker recalls how the city expanded after the railway was completed.,The speaker recalls how the city expanded after the railway was completed.
audio_00002,audio_00002.wav,Aisha,Middle East,Spanish-accented English,English,104.97,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
audio_00003,audio_00003.wav,Mira,Western Europe,Standard English,English,127.6,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
audio_00004,audio_00004.wav,Zara,East Africa,Standard English,English,133.75,"During the festival, elders shared memories of the old market and its changes.","During the festival, elders shared memories of the old market and its changes."
audio_00005,audio_00005.wav,Zara,North America,Spanish-accented English,English,54.27,The town was founded near a river and grew through trade and migration.,The town was founded near a river and grew through trade and migration.
audio_00006,audio_00006.wav,Mira,Eastern Europe,African English,English,43.66,"In the archive, every voice helps reconstruct the meaning of a shared history.","In the archive, every voice helps reconstruct the meaning of a shared history."
audio_00007,audio_00007.wav,Mira,Oceania,Standard English,English,99.43,"In the archive, every voice helps reconstruct the meaning of a shared history.","In the archive, every voice helps reconstruct the meaning of a shared history."
audio_00008,audio_00008.wav,Daniel,South East Asia,Spanish-accented English,English,60.66,Welcome to the museum archive. This recording documents a historical narrative.,Welcome to the museum archive. This recording documents a historical narrative.
audio_00009,audio_00009.wav,Mira,East Africa,Canadian English,English,51.81,The town was founded near a river and grew through trade and migration.,The town was founded near a river and grew through trade and migration.
audio_00010,audio_00010.wav,Sofia,East Africa,Standard English,English,97.2,The ceremonial procession began at dawn and crossed the central square.,The ceremonial procession began at dawn and crossed the central square.
audio_00011,audio_00011.wav,Emil,Latin America,Standard English,English,15.92,The ceremonial procession began at dawn and crossed the central square.,The ceremonial procession began at dawn and crossed the central square.
audio_00012,audio_00012.wav,Amina,Oceania,Australian English,English,129.51,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00013,audio_00013.wav,Victor,Eastern Europe,Australian English,English,121.47,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00014,audio_00014.wav,Sofia,Oceania,British English,English,64.52,The speaker recalls how the city expanded after the railway was completed.,The speaker recalls how the city expanded after the railway was completed.
audio_00015,audio_00015.wav,Lina,Middle East,Australian English,English,62.28,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
audio_00016,audio_00016.wav,Mira,Western Europe,Canadian English,English,114.96,"In the archive, every voice helps reconstruct the meaning of a shared history.","In the archive, every voice helps reconstruct the meaning of a shared history."
audio_00017,audio_00017.wav,Mira,Latin America,French-accented English,English,8.85,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00018,audio_00018.wav,Amina,Central Asia,Standard English,English,109.35,The town was founded near a river and grew through trade and migration.,The town was founded near a river and grew through trade and migration.
audio_00019,audio_00019.wav,Aisha,South Asia,Standard English,English,11.87,The ceremonial procession began at dawn and crossed the central square.,The ceremonial procession began at dawn and crossed the central square.
audio_00020,audio_00020.wav,Zara,South East Asia,Arabic-accented English,English,21.2,The ceremonial procession began at dawn and crossed the central square.,The ceremonial procession began at dawn and crossed the central square.
audio_00021,audio_00021.wav,Nora,Latin America,British English,English,28.98,"In the archive, every voice helps reconstruct the meaning of a shared history.","In the archive, every voice helps reconstruct the meaning of a shared history."
audio_00022,audio_00022.wav,Aisha,North America,Arabic-accented English,English,73.88,Welcome to the museum archive. This recording documents a historical narrative.,Welcome to the museum archive. This recording documents a historical narrative.
audio_00023,audio_00023.wav,Priya,Middle East,French-accented English,English,27.24,The town was founded near a river and grew through trade and migration.,The town was founded near a river and grew through trade and migration.
audio_00024,audio_00024.wav,Amina,South Asia,Australian English,English,67.13,Welcome to the museum archive. This recording documents a historical narrative.,Welcome to the museum archive. This recording documents a historical narrative.
audio_00025,audio_00025.wav,Leo,Central Asia,Standard English,English,65.8,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00026,audio_00026.wav,Leo,North America,French-accented English,English,50.52,The ceremonial procession began at dawn and crossed the central square.,The ceremonial procession began at dawn and crossed the central square.
audio_00027,audio_00027.wav,Amina,Latin America,Australian English,English,70.74,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
audio_00028,audio_00028.wav,Leo,South East Asia,Indian English,English,97.56,The town was founded near a river and grew through trade and migration.,The town was founded near a river and grew through trade and migration.
audio_00029,audio_00029.wav,Amina,North America,Spanish-accented English,English,52.64,"During the festival, elders shared memories of the old market and its changes.","During the festival, elders shared memories of the old market and its changes."
audio_00030,audio_00030.wav,Emil,Central Asia,Australian English,English,62.38,"In the archive, every voice helps reconstruct the meaning of a shared history.","In the archive, every voice helps reconstruct the meaning of a shared history."
audio_00031,audio_00031.wav,Nora,Oceania,Canadian English,English,12.26,"In the archive, every voice helps reconstruct the meaning of a shared history.","In the archive, every voice helps reconstruct the meaning of a shared history."
audio_00032,audio_00032.wav,Daniel,Central Asia,Standard English,English,33.67,The speaker recalls how the city expanded after the railway was completed.,The speaker recalls how the city expanded after the railway was completed.
audio_00033,audio_00033.wav,Lina,Western Europe,Spanish-accented English,English,112.56,"During the festival, elders shared memories of the old market and its changes.","During the festival, elders shared memories of the old market and its changes."
audio_00034,audio_00034.wav,Zara,Eastern Europe,Canadian English,English,121.04,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
